stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
474879,,"West Ave @ 7th St (southbound)","",37.29693,-120.505815,,,0,,,0,,
474895,,"Loughborough Dr @ Austin Ave (eastbound)","",37.323285,-120.49449,,,0,,,0,,
474897,,"Loughborough Dr @ Austin Ave (westbound)","",37.323409,-120.494737,,,0,,,0,,
474898,,"Gage St @ Hwy 140 (southbound)","",37.294416,-120.322797,,,0,,,0,,
474902,,"Broadway @ Cabrillo St (westbound)","",37.290784,-120.314632,,,0,,,0,,
474907,,"Broadway @ Cabrillo St (eastbound)","",37.290533,-120.315034,,,0,,,0,,
474910,,"Gage St @ Hwy 140 (northbound)","",37.294681,-120.322539,,,0,,,0,,
474913,,"Yosemite Pkwy @ Shirley St (eastbound)","",37.295052,-120.45776,,,0,,,0,,
474918,,"Hwy 140 @ Kibby Rd (westbound)","",37.295317,-120.415778,,,0,,,0,,
474920,,"Monte Vista Ave @ Country Side - Turlock (eastbound)","",37.521769,-120.882504,,,0,,,0,,
474921,,"W. Monte Vista Ave @ Crowell Rd (eastbound)","",37.521783,-120.861881,,,0,,,0,,
474922,,"R St @ 23rd St (southbound)","",37.310546,-120.489131,,,0,,,0,,
474923,,"R St @ 12th St (southbound)","",37.299618,-120.495418,,,0,,,0,,
474925,,"4th St @ South Ave (northbound)","",37.427851,-120.765656,,,0,,,0,,
474926,,"Stephens St @ Locust St (southbound)","",37.430833,-120.7772,,,0,,,0,,
474927,,"Schendel Ave @ Mimosa Ave (westbound)","",37.426863,-120.784571,,,0,,,0,,
474928,,"Schendel Ave @ Driftwood Ave/Delhi HS (westbound)","",37.426888,-120.791904,,,0,,,0,,
474929,,"Merced Ave @ Darren Ln (northbound)","",37.430577,-120.794967,,,0,,,0,,
474930,,"Merced Ave @ Darren Ln (southbound)","",37.430905,-120.795241,,,0,,,0,,
474931,,"Schendel Ave @ Driftwood Ave/Delhi HS (eastbound)","",37.42682,-120.792068,,,0,,,0,,
474932,,"Schendel Ave @ Mimosa Ave (eastbound)","",37.426714,-120.784062,,,0,,,0,,
474933,,"Stephens St @ Acacia St (northbound)","",37.430714,-120.77675,,,0,,,0,,
474934,,"4th @ El Capitan (southbound)","",37.432622,-120.775119,,,0,,,0,,
474935,,"4th St @ South Ave (southbound)","",37.428209,-120.765764,,,0,,,0,,
474937,,"R St @ Donna Dr (northbound)","",37.329841,-120.486631,,,0,,,0,,
474939,,"R St @ 8th St (southbound)","",37.295717,-120.497641,,,0,,,0,,
474941,,"S St @ 2nd St (westbound)","",37.290289,-120.503132,,,0,,,0,,
474942,,"Buhach Rd @ Avenue One (northbound)","",37.342159,-120.57684999999998,,,0,,,0,,
474943,,"Buchach Rd @ Bellevue Rd (To Winton)","",37.361457,-120.57669699999995,,,0,,,0,,
474958,,"Amtrak (To Transpo)","",37.307014,-120.47693700000002,,,0,,,0,,
474959,,"K St @ 21st (southbound)","",37.304585,-120.479743,,,0,,,0,,
474960,,"K St @ 18th/ MCAG (southbound)","",37.302255,-120.48117,,,0,,,0,,
474965,,"Merced Ave @ Marthella (to Transpo)","",37.291589,-120.456033,,,0,,,0,,
474966,,"Motel Dr @ Merced Ave (to Transpo)","",37.292188314103434,-120.46282664187244,,,0,,,0,,
474967,,"Motel Dr @ Courtyard by Marriot (to Transpo))","",37.294572,-120.464973,,,0,,,0,,
